x,y,color,Model Size,Training FLOP,hex_color,loss,Training Tokens
154.03592,140.63364,#faebdd,7020236363.826539,9.993852799709755e+18,#faebdd,5.005581996196243,237262970.49876866
151.60375,175.51709,#f8d1b8,3108860840.457508,9.22754122304918e+18,#f8d1b8,4.665232074214,494690375.7031911
153.29233,180.65761,#f47a54,2757221487.8656025,9.753046550244106e+18,#f47a54,3.7655629197937,589545586.2098124
152.88216,186.78615,#f47d57,2389585584.077261,9.62270802690676e+18,#f47d57,3.793872243318985,671155986.9785657
153.35068,192.24076,#ed503e,2103816216.4215536,9.77173114380632e+18,#ed503e,3.446995430227908,774127437.8382856
151.13178,198.50415,#eb483e,1817570351.4277592,9.08578900048968e+18,#eb483e,3.395737776160633,833144183.6948708
223.29648,175.51709,#931c5b,3108860840.457508,9.691016918183068e+19,#931c5b,2.628284835801397,5195374026.86108
223.74805,180.65761,#8c1d5b,2757221487.8656025,9.8356280085446e+19,#8c1d5b,2.585322489772079,5945374145.572949
223.30214,192.24076,#8b1d5b,2103816216.4215536,9.69281625689239e+19,#8b1d5b,2.577587469373751,7678757124.976125
223.67638,198.50415,#891e5b,1817570351.4277592,9.8125331160455e+19,#891e5b,2.566031188935832,8997848059.76235
150.19669,196.98505,#ec4a3e,1883199408.286848,8.811341299700383e+18,#ec4a3e,3.4059279641864757,779820170.302277
153.27159,201.58304,#e53940,1691486114.713547,9.746413883769387e+18,#e53940,3.2856379825927915,960340318.393129
153.18999,206.59757,#dd2c45,1504584086.551564,9.720361902576556e+18,#dd2c45,3.1838780021322792,1076749602.4826336
152.135,211.74208,#d82748,1334278148.9320216,9.389745074057572e+18,#d82748,3.131833845205492,1172887012.7983036
223.40647,196.98505,#8b1d5b,1883199408.286848,9.72604311906606e+19,#8b1d5b,2.577587469373751,8607729905.701515
223.57047,211.74208,#871e5b,1334278148.9320216,9.778503990571033e+19,#871e5b,2.554520985765487,12214474668.566307
152.68024,216.04328,#d5224a,1206780341.6132486,9.559185749312727e+18,#d5224a,3.094521210858053,1320205152.4601698
152.86704,220.95427,#d2204c,1076034622.4297264,9.617936820167483e+18,#d2204c,3.07143034313885,1489719230.7886004
151.81705,230.29257,#cf1e4d,865221384.8618761,9.292327618897865e+18,#cf1e4d,3.048504933511402,1789971095.1591291
152.1268,241.10602,#ca1a50,672154110.5655204,9.387219872346272e+18,#ca1a50,2.998680336233436,2327645730.0465126
151.87633,244.27504,#c81951,624211929.8610235,9.31041358998686e+18,#c81951,2.9852294397432493,2485911473.4904637
151.5757,246.81012,#c81951,588334082.8795372,9.219055166720772e+18,#c81951,2.9852294397432493,2611627031.5892367
152.15343,257.9477,#c51852,453605847.2395696,9.395423098256298e+18,#c51852,2.962954091342755,3452124480.4023857
221.84296,216.04326,#871e5b,1206780905.1880755,9.239820734235676e+19,#871e5b,2.554520985765487,12760975217.225615
223.13108,220.95426,#861e5b,1076034873.6875288,9.638582780528e+19,#861e5b,2.546878120316004,14929167285.407393
222.41411,230.29256,#891e5b,865221586.8940593,9.414553761078442e+19,#891e5b,2.566031188935832,18135149622.719696
220.78783,241.106,#891e5b,672154424.4661723,8.92550747421947e+19,#891e5b,2.566031188935832,22131589481.36098
220.89154,244.27503,#8c1d5b,624212075.6166656,8.955921875825392e+19,#8c1d5b,2.585322489772079,23912604454.123875
219.15384,246.8101,#8b1d5b,588334357.6356528,8.459725377977074e+19,#8b1d5b,2.577587469373751,23965185975.69327
220.83113,257.9477,#8e1d5b,453605847.2395696,8.938193222414103e+19,#8e1d5b,2.5969714788717795,32841262507.261593
135.74054,246.8101,#dd2c45,588334357.6356528,5.484159150896782e+18,#dd2c45,3.1838780021322792,1553583456.901403
136.35953,257.9477,#d72549,453605847.2395696,5.596644720489731e+18,#d72549,3.122463718742479,2056353827.3548357
186.43578,196.98503,#b41658,1883200287.7540896,2.8925320644970627e+19,#b41658,2.836974331044393,2559943732.75674
185.97084,201.58303,#b21758,1691486509.681402,2.848754204723974e+19,#b21758,2.8242551231206,2806953320.2687187
186.55135,206.59755,#af1759,1504584789.2028134,2.9035179114482905e+19,#af1759,2.803174649739657,3216300306.7739873
186.7596,211.74207,#aa185a,1334278460.4905798,2.9234191671389647e+19,#aa185a,2.7697776574701383,3651685478.5870543
207.96921,201.58303,#981b5b,1691486509.681402,5.861759895011209e+19,#981b5b,2.6599757580335908,5775747999.822253
207.71273,206.59755,#981b5b,1504584789.2028134,5.812652960869033e+19,#981b5b,2.6599757580335908,6438822859.504424
207.94023,211.74207,#971c5b,1334278460.4905798,5.856190515229448e+19,#971c5b,2.6480441566036577,7315052902.670552
133.71002,271.85755,#d2204c,327808263.978935,5.130795602711605e+18,#d2204c,3.07143034313885,2608636494.005182
135.86865,275.81364,#d2204c,298883187.1213356,5.507252807696336e+18,#d2204c,3.07143034313885,3071017399.1043715
135.23773,286.4015,#d3214b,233416090.5700968,5.394452556879037e+18,#d3214b,3.085262719979744,3851814259.893563
136.46225,295.46263,#cf1e4d,188904607.4495092,5.615533392166412e+18,#cf1e4d,3.048504933511402,4954470114.117732
135.27829,304.9683,#d11f4c,151302555.58977813,5.401634154627279e+18,#d11f4c,3.057653118830149,5950146417.522694
131.32936,316.73493,#d5224a,114953381.36131366,4.745385884898523e+18,#d5224a,3.094521210858053,6880159923.24046
137.28813,331.9645,#d5224a,80552648.20176862,5.769735572993707e+18,#d5224a,3.094521210858053,11937814795.241428
137.44757,342.65977,#db2946,62750890.182418734,5.799989109562024e+18,#db2946,3.1601132738955617,15404799020.118229
94.05376,331.9645,#ec4a3e,80552648.20176862,1.3972367362937152e+18,#ec4a3e,3.4059279641864757,2890938964.5264688
105.82828,316.73493,#e63b40,114953381.36131366,2.0558971596900728e+18,#e63b40,3.3004424648947897,2980769443.72797
101.188037,323.66813,#e83f3f,97771592.49706928,1.7656304230443515e+18,#e83f3f,3.325255034889082,3009787706.8216867
125.60949,298.51499,#d62449,175909298.47377312,3.93360146377242e+18,#d62449,3.108464556029377,3726922053.8663883
121.2535,304.9683,#d82748,151302555.58977813,3.4098717015292923e+18,#d82748,3.131833845205492,3756129220.948048
115.9697,312.5862,#de2e44,126646651.19017182,2.8672714001875866e+18,#de2e44,3.1982167939721484,3773321775.246561
135.25484,290.6899,#cf1e4d,211174973.27064133,5.39748090701735e+18,#cf1e4d,3.048504933511402,4259880502.1116714
